SERIAL_NO,DEVICE_ID,PRODUCT_FAMILY,MODEL_NAME,PART_NUMBER,DEVICE_CAPACITY,COLOR,PURCHASE_SOURCE,ORDER_NUMBER,DATE_ADDED_TO_ORGANIZATION,DATE_REMOVED_FROM_ORGANIZATION,MDM_SERVER,DATE_ASSIGNED_TO_MDM_SERVER
C02Z90NBJV3X,C02Z90NBJV3X,Mac,"iMac 27""",Z0VQ,256GB,SILVER,Apple (1247140),1009785665,2022-11-18T12:25:32Z,,Kandji,2022-11-21T12:08:10Z
C02Z90TFJV3X,C02Z90TFJV3X,Mac,"iMac 27""",Z0VQ,256GB,SILVER,Apple (1247140),1009785665,2022-11-18T12:25:29Z,,Kandji,2022-11-21T12:08:10Z
FVFGG2K8Q05F,FVFGG2K8Q05F,Mac,"MacBook Pro 13""",MYD92LL/A,512GB,SPACE GRAY,Apple (1247140),1015550646,2022-11-18T12:25:31Z,,Kandji,2022-11-21T12:08:10Z
H4TL80CPQ6X3,H4TL80CPQ6X3,Mac,"iMac (24-inch, M1, 2021)",Z12R,2TB,SILVER,Apple (1247140),AAA0554367,2023-08-26T11:09:24Z,,Kandji,2023-08-26T11:09:24Z
HQTWM047NW,HQTWM047NW,Mac,"MacBook Pro 14""",Z15G,1TB,SPACE GRAY,Apple (1247140),1018389514,2023-01-26T03:15:47Z,,Kandji,2023-01-26T03:15:47Z
J2N54WML6P,J2N54WML6P,Mac,"MacBook Pro 16""",MK193LL/A,1TB,SPACE GRAY,Apple (1247140),1017322773,2022-11-18T12:25:30Z,,Kandji,2022-11-21T12:08:10Z
N99G451XK1,N99G451XK1,Mac,"MacBook Pro 16""",MK193LL/A,1TB,SPACE GRAY,Apple (1247140),1016846273,2022-11-18T12:25:32Z,,Kandji,2022-11-21T12:08:10Z
P6C67WD7NF,P6C67WD7NF,Mac,"MacBook Pro (14-inch, 2023)",Z17G,1TB,SPACE GRAY,Apple (1247140),1018525482,2023-02-09T03:21:35Z,,Kandji,2023-02-09T03:21:35Z
Q6G693P2DP,Q6G693P2DP,Mac,"MacBook Pro 16""",MK193LL/A,1TB,SPACE GRAY,Apple (1247140),1015550646,2022-11-18T12:25:33Z,,Kandji,2022-11-21T12:08:10Z
C02CG4YKMD6R,C02CG4YKMD6R,Mac,"MacBook Pro (16-inch, 2019)",Z0XZ,1TB,SPACE GRAY,Apple (1166840),1010849148,2020-03-30T03:57:25Z,,Kandji,2023-10-30T08:56:03Z
C02H829ZQ05N,C02H829ZQ05N,Mac,"MacBook Pro 13""",Z11B,256GB,SPACE GRAY,Apple (1166840),1016379397,2022-02-19T15:23:34Z,,Kandji,2023-10-30T08:56:03Z
C02H82A1Q05N,C02H82A1Q05N,Mac,"MacBook Pro 13""",Z11B,256GB,SPACE GRAY,Apple (1166840),1016379397,2022-02-19T15:29:39Z,,Kandji,2023-10-30T08:56:03Z
C02H82A2Q05N,C02H82A2Q05N,Mac,"MacBook Pro 13""",Z11B,256GB,SPACE GRAY,Apple (1166840),1016379397,2022-02-19T15:26:09Z,,Kandji,2023-10-30T08:56:03Z
C07W80JVG1J1,C07W80JVG1J1,Mac,Mac mini,Z0R7,256GB,SILVER,Apple (1166840),1007363336,2018-02-24T03:45:11Z,,Meraki,2019-12-04T16:52:30Z
C07XMD3QJYVW,C07XMD3QJYVW,Mac,Mac mini,MRTR2LL/A,128GB,SPACE GRAY,Apple (1166840),1010511599,2020-01-16T16:07:43Z,,Kandji,2023-10-30T08:56:03Z
CK4N9NV4WF,CK4N9NV4WF,Mac,Mac mini (2023),MMFJ3LL/A,256GB,SILVER,Apple (1166840),AAA0013519,2023-05-02T17:18:28Z,,Kandji,2023-10-30T08:56:03Z
FVFCG3DQL413,FVFCG3DQL413,Mac,MacBook Pro with 2 Thunderbolt 3 ports (2019),Z0W4,512GB,SPACE GRAY,Apple (1166840),1010849148,2020-03-30T04:06:20Z,,Kandji,2023-10-30T08:56:03Z
FVFCG3DRL413,FVFCG3DRL413,Mac,MacBook Pro with 2 Thunderbolt 3 ports (2019),Z0W4,512GB,SPACE GRAY,Apple (1166840),1010849148,2020-03-30T03:56:43Z,,Kandji,2023-10-30T08:56:03Z
FVFFQ6DJQ6LR,FVFFQ6DJQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1166840),1014542741,2021-05-26T03:47:45Z,,Kandji,2023-10-30T08:56:03Z
FVFFR0NPQ6LR,FVFFR0NPQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1166840),1014542741,2021-05-26T03:38:14Z,,Kandji,2023-10-30T08:56:03Z
FVFFR52GQ6LR,FVFFR52GQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1166840),1014575020,2021-05-31T04:01:51Z,,Kandji,2023-10-30T08:56:03Z
FVFG4072Q6LR,FVFG4072Q6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1166840),1014871319,2021-07-21T03:43:35Z,,Kandji,2023-10-30T08:56:03Z
FVFGK0ZVQ6LR,FVFGK0ZVQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1166840),1015414719,2021-10-13T03:56:08Z,,Kandji,2023-10-30T08:56:03Z
FVFGV1D8Q6LR,FVFGV1D8Q6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1166840),1015896403,2021-12-09T15:34:27Z,,Kandji,2023-10-30T08:56:03Z
H2WDP18RQ6NY,H2WDP18RQ6NY,Mac,Mac mini,Z12N,256GB,SILVER,Apple (1166840),1011977261,2020-11-16T05:27:29Z,,Kandji,2023-10-30T08:56:03Z
